Episode_title	Episode_runtime	Released_on
Taarak Mehta Introduces Himself And Society Members	21 mins	28 Jul 2008
Jethalal's Son Tapu Decides To Spend His Holiday	18 mins	29 Jul 2008
Tapu Has Been The Worry Of Jethalal	19 mins	30 Jul 2008
Daya Approaches Taarak Mehta For Help	18 mins	31 Jul 2008
Jethalal In Huge Trouble	18 mins	01 Aug 2008
Champaklal Gada Goes Missing	16 mins	04 Aug 2008
Champaklal Gada Gets A Grand Welcome In Gokuldham Society	20 mins	05 Aug 2008
Mumbai Is Hit By Heavy Rains	19 mins	06 Aug 2008
Jethalal Is Thrown In An Unlikely Situation	19 mins	07 Aug 2008
Champak Chacha Returns Home	19 mins	08 Aug 2008
Mobile Phones Could Be Called  Best Friends	19 mins	11 Aug 2008
Mr Bhide Is Concerned By Sonu's Friendship	18 mins	12 Aug 2008
Gokuldham Society Celebrates Rakshabandhan	18 mins	13 Aug 2008
Jethalal Gets Kidnapped From Work	19 mins	14 Aug 2008
Champaklal Informs His Son's Abducters	19 mins	15 Aug 2008
The Men Want To Celebrate The Festival Of Janamashtmi	19 mins	18 Aug 2008
Champaklal And Tapu Successfully Foil Jethalal And His Friends	20 mins	19 Aug 2008
Tapu Lands In Trouble In School	19 mins	20 Aug 2008
Jethalal Approaches Chingur Baba For Help	19 mins	21 Aug 2008
Humour is very good for the health	19 mins	22 Aug 2008
Ganesh Utsav In The Society	19 mins	25 Aug 2008
Gokuldham is trying to celebrate Ganesh Chathurti	20 mins	26 Aug 2008
The Kids Of The Society Are Very Excited	17 mins	27 Aug 2008
Gokuldham Society is all set to celebrate Ganesh Chathurthi	18 mins	27 Aug 2008
Wacky Society Is Thrown Into Another Strange Situation	18 mins	27 Aug 2008
The Feeling With Which One Celebrates The Festival	18 mins	27 Aug 2008
Ganesh Ustsav continues with fun and laughter	19 mins	27 Aug 2008
A Hasya Kavi Sammelan Is Organised On The Ocassion Of Ganesh Chathurthi	17 mins	27 Aug 2008
Jethalal, Daya and Baccha Party's unbelievable performance	17 mins	27 Aug 2008
Daya Intervenes The Session	20 mins	27 Aug 2008
Helpless Husbands Of Gokuldham Society	20 mins	27 Aug 2008
Gobhachari's Book On Marriage And Relationship	16 mins	27 Aug 2008
Gobachari Inspires The Husbands At Gokuldham	19 mins	27 Aug 2008
Gokuldham Members Are Enraged At Jethalal And Warn Him	18 mins	27 Aug 2008
Jethalal Is Fed Up Of Tapu Watching Television All Day	18 mins	27 Aug 2008
Television Is Becoming A Crazy Problem	17 mins	27 Aug 2008
Jethalal's Plan To Cut Down On Tapu's Cable Watching	19 mins	27 Aug 2008
The Children Revolt Against The Child Lock	18 mins	27 Aug 2008
Daya Is Super Excited About The Garba Celebrations	20 mins	27 Aug 2008
Daya Wants To Go To Ahmedabad And Celebrate Navratri	18 mins	27 Aug 2008
Gadas To Celebrate Navratri In Ahemdabad	19 mins	27 Aug 2008
Jethalal Excited About Learning Disco Dandiya	20 mins	27 Aug 2008
A Goon Threatens Bhide, Sodhi And Jethalal	19 mins	27 Aug 2008
Taarak Begins The Disco Dandiya Competition	20 mins	27 Aug 2008
Taarak Talks To The Audience About The Human Organ Trafficking	19 mins	27 Aug 2008
Shaikh  Offers A Warning To Jethalal	19 mins	27 Aug 2008
Jethalal In Search Of A Kidney Donor	20 mins	27 Aug 2008
An Enraged Jethalal Threatens Bhide	19 mins	27 Aug 2008
Jethalal And Shaikh Are Waiting For Badri Nath's Final Answer	20 mins	27 Aug 2008
Daya Instructs Jethalal To Clean The House On Diwali	20 mins	27 Aug 2008
Bhide Outsmarts Jethalal	19 mins	28 Aug 2017
Jethalal Confronts Daya About Buying Bomb For Tappu	19 mins	28 Aug 2008
Jethalal's Irksome Behavior	19 mins	28 Aug 2008
Taarak Mehta Feels Lonely On Diwali	19 mins	28 Aug 2008
Champaklal Celebrates The New-Year With The Children	19 mins	28 Aug 2008
