,Asset No,Final Closing Assets_x,Cost Beginning Balance_y
0,412644,4692.0,4692.0
1,6433,1670.0,1670.0
2,2211,6080.0,6080.0
3,417644,5050.0,5050.0
4,5474,2200000.0,2200000.0
5,311644,0.0,0.0
6,303644,8250.0,8250.0
7,1856,4595.0,4595.0
8,51634,6171.48,6171.48
9,376644,4225.0,4225.0
10,385645,9000.0,9000.0
11,385646,4250.0,4250.0
12,385647,6525.0,6525.0
13,403647,14886.0,14886.0
14,434647,13655.0,13655.0
15,434649,25845.0,25845.0
16,469697,2140.0,2140.0
17,469698,2140.0,2140.0
18,469699,2140.0,2140.0
19,469700,2140.0,2140.0
20,469701,2140.0,2140.0
21,469702,2140.0,2140.0
22,521694,22000.0,22000.0
23,521696,18950.0,18950.0
24,521697,18950.0,18950.0
25,521698,18950.0,18950.0
26,521699,18950.0,18950.0
27,527699,3800.0,3800.0
28,527700,3800.0,3800.0
29,566691,2300.0,2300.0
30,566692,5810.0,5810.0
31,570693,9300.0,9300.0
32,412645,3429.0,3429.0
33,412646,11105.0,11105.0
34,412647,2100.0,2100.0
35,412648,4000.0,4000.0
36,412649,2650.0,2650.0
37,412650,3278.0,3278.0
38,412651,9112.0,9112.0
39,412652,3862.0,3862.0
40,412653,3862.0,3862.0
41,412654,9112.0,9112.0
42,412655,3278.0,3278.0
43,412656,9112.0,9112.0
44,412657,9112.0,9112.0
45,412658,3278.0,3278.0
46,412659,9112.0,9112.0
47,412660,3862.0,3862.0
48,412661,3862.0,3862.0
49,412662,3278.0,3278.0
50,412663,9112.0,9112.0
51,412664,3862.0,3862.0
52,412665,9112.0,9112.0
53,412666,3278.0,3278.0
54,412667,3278.0,3278.0
55,412668,3278.0,3278.0
56,412669,11025.0,11025.0
57,412670,18360.0,18360.0
58,412671,49615.0,49615.0
59,412672,56840.0,56840.0
60,412673,9785.0,9785.0
61,412674,5585.0,5585.0
62,412675,9645.0,9645.0
63,412676,1550.0,1550.0
64,412677,9090.34,9090.34
65,412678,62675.62,62675.62
66,412679,19500.0,19500.0
67,412680,790.0,790.0
68,412681,630.0,630.0
69,412682,480.0,480.0
70,412683,480.0,480.0
71,412684,460.0,460.0
72,412685,251000.0,251000.0
73,412686,104500.0,104500.0
74,412687,490.0,490.0
75,412688,490.0,490.0
76,412689,390.0,390.0
77,412690,1225.0,1225.0
78,412691,485.0,485.0
79,412692,1975.0,1975.0
80,412693,485.0,485.0
81,412694,875.0,875.0
82,412695,485.0,485.0
83,412696,715.0,715.0
84,412697,715.0,715.0
85,412698,1225.0,1225.0
86,412699,390.0,390.0
87,412700,1225.0,1225.0
88,412701,1225.0,1225.0
89,412702,490.0,490.0
90,412703,490.0,490.0
91,412704,390.0,390.0
92,412705,1225.0,1225.0
93,412706,485.0,485.0
94,412707,485.0,485.0
95,412708,875.0,875.0
96,412709,875.0,875.0
97,412710,495.0,495.0
98,412711,495.0,495.0
99,412712,1225.0,1225.0
100,412713,485.0,485.0
101,412714,1218.0,1218.0
102,412715,1218.0,1218.0
103,412716,1218.0,1218.0
104,412717,1218.0,1218.0
105,412718,3950.0,3950.0
106,412719,3950.0,3950.0
107,412720,3950.0,3950.0
108,412721,3950.0,3950.0
109,412722,510.0,510.0
110,412723,510.0,510.0
111,412724,510.0,510.0
112,412725,510.0,510.0
113,412726,295.0,295.0
114,412727,295.0,295.0
115,412728,295.0,295.0
116,412729,295.0,295.0
117,412730,295.0,295.0
118,412731,295.0,295.0
119,412732,295.0,295.0
120,412733,295.0,295.0
121,412734,295.0,295.0
122,412735,295.0,295.0
123,412736,295.0,295.0
124,412737,295.0,295.0
125,412738,295.0,295.0
126,412739,295.0,295.0
127,412740,295.0,295.0
128,412741,295.0,295.0
129,412742,295.0,295.0
130,412743,295.0,295.0
131,412744,295.0,295.0
132,412745,295.0,295.0
133,412746,295.0,295.0
134,412747,295.0,295.0
135,412748,295.0,295.0
136,412749,295.0,295.0
137,412750,295.0,295.0
138,412751,295.0,295.0
139,412752,295.0,295.0
140,412753,295.0,295.0
141,412754,295.0,295.0
142,412755,295.0,295.0
143,412756,295.0,295.0
144,412757,295.0,295.0
145,412758,295.0,295.0
146,412759,295.0,295.0
147,412760,295.0,295.0
148,412761,295.0,295.0
149,412762,295.0,295.0
150,412763,295.0,295.0
151,412764,295.0,295.0
152,412765,295.0,295.0
153,412766,295.0,295.0
154,412767,295.0,295.0
155,412768,295.0,295.0
156,412769,295.0,295.0
157,412770,295.0,295.0
158,412771,295.0,295.0
159,412772,295.0,295.0
160,412773,295.0,295.0
161,412774,295.0,295.0
162,412775,295.0,295.0
163,412776,295.0,295.0
164,412777,295.0,295.0
165,412778,295.0,295.0
166,412779,295.0,295.0
167,412780,295.0,295.0
168,412781,295.0,295.0
169,412782,295.0,295.0
170,412783,295.0,295.0
171,412784,295.0,295.0
172,412785,295.0,295.0
173,412786,295.0,295.0
174,412787,295.0,295.0
175,412788,295.0,295.0
176,412789,295.0,295.0
177,412790,295.0,295.0
178,412791,295.0,295.0
179,412792,295.0,295.0
180,412793,295.0,295.0
181,412794,295.0,295.0
182,412795,295.0,295.0
183,412796,295.0,295.0
184,412797,295.0,295.0
185,412798,295.0,295.0
186,412799,295.0,295.0
187,412800,295.0,295.0
188,412801,295.0,295.0
189,412802,295.0,295.0
190,412803,295.0,295.0
191,412804,295.0,295.0
192,412805,295.0,295.0
193,412806,1395.0,1395.0
194,412807,1395.0,1395.0
195,412808,1395.0,1395.0
196,412809,4270.0,4270.0
197,412810,4270.0,4270.0
198,412811,185.0,185.0
199,412812,185.0,185.0
200,412813,185.0,185.0
201,412814,185.0,185.0
202,412815,185.0,185.0
203,412816,185.0,185.0
204,412817,185.0,185.0
205,412818,185.0,185.0
206,412819,185.0,185.0
207,412820,185.0,185.0
208,412821,185.0,185.0
209,412822,185.0,185.0
210,412823,185.0,185.0
211,412824,185.0,185.0
212,412825,185.0,185.0
213,412826,185.0,185.0
214,412827,185.0,185.0
215,412828,185.0,185.0
216,412829,185.0,185.0
217,412830,185.0,185.0
218,412831,185.0,185.0
219,412832,185.0,185.0
220,412833,185.0,185.0
221,412834,185.0,185.0
222,412835,185.0,185.0
223,412836,185.0,185.0
224,412837,185.0,185.0
225,412838,185.0,185.0
226,412839,185.0,185.0
227,412840,185.0,185.0
228,412841,185.0,185.0
