,Asset No,Revised Accum Dep_x,Dep. Beginning Balance_y
0,412644,4692.0,4692.0
1,6433,1670.0,1670.0
2,2211,6080.0,6080.0
3,417644,5050.0,5050.0
4,5474,2200000.0,2200000.0
5,311644,0.0,0.0
6,303644,8250.0,8250.0
7,1856,4595.0,4595.0
8,51634,6171.48,6171.48
9,376644,4225.0,4225.0
10,385645,9000.0,9000.0
11,385646,4250.0,4250.0
12,385647,6525.0,6525.0
13,403647,14886.0,14886.0
14,434647,13269.47,13269.47
15,434649,25115.27,25115.27
16,469697,2023.02,2023.02
17,469698,2023.02,2023.02
18,469699,2023.02,2023.02
19,469700,2023.02,2023.02
20,469701,2023.02,2023.02
21,469702,2023.02,2023.02
22,521694,14043.83,14043.83
23,521696,12096.83,12096.83
24,521697,12096.83,12096.83
25,521698,12096.83,12096.83
26,521699,12096.83,12096.83
27,527699,2425.75,2425.75
28,527700,2425.75,2425.75
29,566691,1087.98,1087.98
30,566692,2748.45,2748.45
31,570693,2481.68,2481.68
32,412645,3429.0,3429.0
33,412646,11105.0,11105.0
34,412647,1295.66,1295.66
35,412648,2467.96,2467.96
36,412649,1634.98,1634.98
37,412650,3278.0,3278.0
38,412651,9112.0,9112.0
39,412652,3862.0,3862.0
40,412653,3862.0,3862.0
41,412654,9112.0,9112.0
42,412655,3278.0,3278.0
43,412656,9112.0,9112.0
44,412657,9112.0,9112.0
45,412658,3278.0,3278.0
46,412659,9112.0,9112.0
47,412660,3862.0,3862.0
48,412661,3862.0,3862.0
49,412662,3278.0,3278.0
50,412663,9112.0,9112.0
51,412664,3862.0,3862.0
52,412665,9112.0,9112.0
53,412666,3278.0,3278.0
54,412667,3278.0,3278.0
55,412668,3278.0,3278.0
56,412669,6802.23,6802.23
57,412670,11327.88,11327.88
58,412671,30611.81,30611.81
59,412672,35069.51,35069.51
60,412673,6037.21,6037.21
61,412674,3445.88,3445.88
62,412675,5950.82,5950.82
63,412676,1550.0,1550.0
64,412677,9090.34,9090.34
65,412678,62675.62,62675.62
66,412679,19500.0,19500.0
67,412680,790.0,790.0
68,412681,630.0,630.0
69,412682,480.0,480.0
70,412683,480.0,480.0
71,412684,460.0,460.0
72,412685,154863.56,154863.56
73,412686,104500.0,104500.0
74,412687,302.28,302.28
75,412688,302.28,302.28
76,412689,240.58,240.58
77,412690,755.82,755.82
78,412691,299.23,299.23
79,412692,1218.57,1218.57
80,412693,299.23,299.23
81,412694,539.82,539.82
82,412695,299.23,299.23
83,412696,441.16,441.16
84,412697,441.16,441.16
85,412698,755.82,755.82
86,412699,240.58,240.58
87,412700,755.82,755.82
88,412701,755.82,755.82
89,412702,302.28,302.28
90,412703,302.28,302.28
91,412704,240.58,240.58
92,412705,755.82,755.82
93,412706,299.23,299.23
94,412707,299.23,299.23
95,412708,539.82,539.82
96,412709,539.82,539.82
97,412710,305.42,305.42
98,412711,305.42,305.42
99,412712,755.82,755.82
100,412713,299.23,299.23
101,412714,1218.0,1218.0
102,412715,1218.0,1218.0
103,412716,1218.0,1218.0
104,412717,1218.0,1218.0
105,412718,2437.11,2437.11
106,412719,2437.11,2437.11
107,412720,2437.11,2437.11
108,412721,2437.11,2437.11
109,412722,510.0,510.0
110,412723,510.0,510.0
111,412724,510.0,510.0
112,412725,510.0,510.0
113,412726,182.01,182.01
114,412727,182.01,182.01
115,412728,182.01,182.01
116,412729,182.01,182.01
117,412730,182.01,182.01
118,412731,182.01,182.01
119,412732,182.01,182.01
120,412733,182.01,182.01
121,412734,182.01,182.01
122,412735,182.01,182.01
123,412736,182.01,182.01
124,412737,182.01,182.01
125,412738,182.01,182.01
126,412739,182.01,182.01
127,412740,182.01,182.01
128,412741,182.01,182.01
129,412742,182.01,182.01
130,412743,182.01,182.01
131,412744,182.01,182.01
132,412745,182.01,182.01
133,412746,182.01,182.01
134,412747,182.01,182.01
135,412748,182.01,182.01
136,412749,182.01,182.01
137,412750,182.01,182.01
138,412751,182.01,182.01
139,412752,182.01,182.01
140,412753,182.01,182.01
141,412754,182.01,182.01
142,412755,182.01,182.01
143,412756,182.01,182.01
144,412757,182.01,182.01
145,412758,182.01,182.01
146,412759,182.01,182.01
147,412760,182.01,182.01
148,412761,182.01,182.01
149,412762,182.01,182.01
150,412763,182.01,182.01
151,412764,182.01,182.01
152,412765,182.01,182.01
153,412766,182.01,182.01
154,412767,182.01,182.01
155,412768,182.01,182.01
156,412769,182.01,182.01
157,412770,182.01,182.01
158,412771,182.01,182.01
159,412772,182.01,182.01
160,412773,182.01,182.01
161,412774,182.01,182.01
162,412775,182.01,182.01
163,412776,182.01,182.01
164,412777,182.01,182.01
165,412778,182.01,182.01
166,412779,182.01,182.01
167,412780,182.01,182.01
168,412781,182.01,182.01
169,412782,182.01,182.01
170,412783,182.01,182.01
171,412784,182.01,182.01
172,412785,182.01,182.01
173,412786,182.01,182.01
174,412787,182.01,182.01
175,412788,182.01,182.01
176,412789,182.01,182.01
177,412790,182.01,182.01
178,412791,182.01,182.01
179,412792,182.01,182.01
180,412793,182.01,182.01
181,412794,182.01,182.01
182,412795,182.01,182.01
183,412796,182.01,182.01
184,412797,182.01,182.01
185,412798,182.01,182.01
186,412799,182.01,182.01
187,412800,182.01,182.01
188,412801,182.01,182.01
189,412802,182.01,182.01
190,412803,182.01,182.01
191,412804,182.01,182.01
192,412805,182.01,182.01
193,412806,1395.0,1395.0
194,412807,1395.0,1395.0
195,412808,1395.0,1395.0
196,412809,4270.0,4270.0
197,412810,4270.0,4270.0
198,412811,114.12,114.12
199,412812,114.12,114.12
200,412813,114.12,114.12
201,412814,114.12,114.12
202,412815,114.12,114.12
203,412816,114.12,114.12
204,412817,114.12,114.12
205,412818,114.12,114.12
206,412819,114.12,114.12
207,412820,114.12,114.12
208,412821,114.12,114.12
209,412822,114.12,114.12
210,412823,114.12,114.12
211,412824,114.12,114.12
212,412825,114.12,114.12
213,412826,114.12,114.12
214,412827,114.12,114.12
215,412828,114.12,114.12
216,412829,114.12,114.12
217,412830,114.12,114.12
218,412831,114.12,114.12
219,412832,114.12,114.12
220,412833,114.12,114.12
221,412834,114.12,114.12
222,412835,114.12,114.12
223,412836,114.12,114.12
224,412837,114.12,114.12
225,412838,114.12,114.12
226,412839,114.12,114.12
227,412840,114.12,114.12
228,412841,114.12,114.12
229,412842,114.12,114.12
