,Asset No,NAV_x,NAV_y
0,412644,0.0,0.0
1,6433,0.0,0.0
2,2211,0.0,0.0
3,417644,0.0,0.0
4,5474,0.0,0.0
5,311644,0.0,0.0
6,303644,0.0,0.0
7,1856,0.0,0.0
8,51634,0.0,0.0
9,376644,0.0,0.0
10,385645,0.0,0.0
11,385646,0.0,0.0
12,385647,0.0,0.0
13,403647,0.0,0.0
32,412645,0.0,0.0
33,412646,0.0,0.0
37,412650,0.0,0.0
38,412651,0.0,0.0
39,412652,0.0,0.0
40,412653,0.0,0.0
41,412654,0.0,0.0
42,412655,0.0,0.0
43,412656,0.0,0.0
44,412657,0.0,0.0
45,412658,0.0,0.0
46,412659,0.0,0.0
47,412660,0.0,0.0
48,412661,0.0,0.0
49,412662,0.0,0.0
50,412663,0.0,0.0
51,412664,0.0,0.0
52,412665,0.0,0.0
53,412666,0.0,0.0
54,412667,0.0,0.0
55,412668,0.0,0.0
63,412676,0.0,0.0
64,412677,0.0,0.0
65,412678,0.0,0.0
66,412679,0.0,0.0
67,412680,0.0,0.0
68,412681,0.0,0.0
69,412682,0.0,0.0
70,412683,0.0,0.0
71,412684,0.0,0.0
73,412686,0.0,0.0
101,412714,0.0,0.0
102,412715,0.0,0.0
103,412716,0.0,0.0
104,412717,0.0,0.0
109,412722,0.0,0.0
110,412723,0.0,0.0
111,412724,0.0,0.0
112,412725,0.0,0.0
193,412806,0.0,0.0
194,412807,0.0,0.0
195,412808,0.0,0.0
196,412809,0.0,0.0
197,412810,0.0,0.0
273,412886,0.0,0.0
274,412887,0.0,0.0
275,412888,0.0,0.0
276,412889,0.0,0.0
277,412890,0.0,0.0
278,412891,0.0,0.0
279,412892,0.0,0.0
280,412893,0.0,0.0
281,412894,0.0,0.0
282,412895,0.0,0.0
283,412896,0.0,0.0
284,412897,0.0,0.0
285,412898,0.0,0.0
286,412899,0.0,0.0
287,412900,0.0,0.0
288,412901,0.0,0.0
289,412902,0.0,0.0
290,412903,0.0,0.0
291,412904,0.0,0.0
292,412905,0.0,0.0
293,412906,0.0,0.0
294,412907,0.0,0.0
295,412908,0.0,0.0
296,412909,0.0,0.0
297,412910,0.0,0.0
298,412911,0.0,0.0
299,412912,0.0,0.0
300,412913,0.0,0.0
301,412914,0.0,0.0
302,412915,0.0,0.0
303,412916,0.0,0.0
304,412917,0.0,0.0
305,412918,0.0,0.0
306,412919,0.0,0.0
307,412920,0.0,0.0
308,412921,0.0,0.0
309,412922,0.0,0.0
310,412923,0.0,0.0
311,412924,0.0,0.0
312,412925,0.0,0.0
313,412926,0.0,0.0
314,412927,0.0,0.0
315,412928,0.0,0.0
316,412929,0.0,0.0
317,412930,0.0,0.0
318,412931,0.0,0.0
319,412932,0.0,0.0
320,412933,0.0,0.0
321,412934,0.0,0.0
322,412935,0.0,0.0
323,412936,0.0,0.0
324,412937,0.0,0.0
325,412938,0.0,0.0
326,412939,0.0,0.0
327,412940,0.0,0.0
328,412941,0.0,0.0
329,412942,0.0,0.0
330,412943,0.0,0.0
331,412944,0.0,0.0
332,412945,0.0,0.0
333,412946,0.0,0.0
334,412947,0.0,0.0
335,412948,0.0,0.0
336,412949,0.0,0.0
337,412950,0.0,0.0
338,412951,0.0,0.0
339,412952,0.0,0.0
340,412953,0.0,0.0
341,412954,0.0,0.0
342,412955,0.0,0.0
343,412956,0.0,0.0
344,412957,0.0,0.0
345,412958,0.0,0.0
346,412959,0.0,0.0
347,412960,0.0,0.0
348,412961,0.0,0.0
349,412962,0.0,0.0
350,412963,0.0,0.0
351,412964,0.0,0.0
352,412965,0.0,0.0
353,412966,0.0,0.0
354,412967,0.0,0.0
355,412968,0.0,0.0
356,412969,0.0,0.0
357,412970,0.0,0.0
358,412971,0.0,0.0
359,412972,0.0,0.0
360,412973,0.0,0.0
361,412974,0.0,0.0
362,412975,0.0,0.0
363,412976,0.0,0.0
364,412977,0.0,0.0
365,412978,0.0,0.0
366,412979,0.0,0.0
367,412980,0.0,0.0
368,412981,0.0,0.0
369,412982,0.0,0.0
370,412983,0.0,0.0
371,412984,0.0,0.0
372,412985,0.0,0.0
373,412986,0.0,0.0
