,Asset No,NAV_x,NAV_y
14,434647,385.53,0.0
15,434649,729.73,0.0
16,469697,116.98,56.4
17,469698,116.98,56.4
18,469699,116.98,56.4
19,469700,116.98,56.4
20,469701,116.98,56.4
21,469702,116.98,56.4
22,521694,7956.17,7333.34
23,521696,6853.17,6316.69
24,521697,6853.17,6316.69
25,521698,6853.17,6316.69
26,521699,6853.17,6316.69
27,527699,1374.25,1266.67
28,527700,1374.25,1266.67
29,566691,1212.02,1146.91
30,566692,3061.55,2897.07
31,570693,6818.32,6660.35
34,412647,804.34,768.67
35,412648,1532.04,1464.09
36,412649,1015.02,970.01
56,412669,4222.77,4035.5
57,412670,7032.12,6720.25
58,412671,19003.19,18160.41
59,412672,21770.49,20804.99
60,412673,3747.79,3581.58
61,412674,2139.12,2044.25
62,412675,3694.18,3530.35
72,412685,96136.44,91872.88
74,412687,187.72,179.4
75,412688,187.72,179.4
76,412689,149.42,142.8
77,412690,469.18,448.37
78,412691,185.77,177.53
79,412692,756.43,722.88
80,412693,185.77,177.53
81,412694,335.18,320.32
82,412695,185.77,177.53
83,412696,273.84,261.69
84,412697,273.84,261.69
85,412698,469.18,448.37
86,412699,149.42,142.8
87,412700,469.18,448.37
88,412701,469.18,448.37
89,412702,187.72,179.4
90,412703,187.72,179.4
91,412704,149.42,142.8
92,412705,469.18,448.37
93,412706,185.77,177.53
94,412707,185.77,177.53
95,412708,335.18,320.32
96,412709,335.18,320.32
97,412710,189.58,181.17
98,412711,189.58,181.17
99,412712,469.18,448.37
100,412713,185.77,177.53
105,412718,1512.89,1445.79
106,412719,1512.89,1445.79
107,412720,1512.89,1445.79
108,412721,1512.89,1445.79
113,412726,112.99,107.98
114,412727,112.99,107.98
115,412728,112.99,107.98
116,412729,112.99,107.98
117,412730,112.99,107.98
118,412731,112.99,107.98
119,412732,112.99,107.98
120,412733,112.99,107.98
121,412734,112.99,107.98
122,412735,112.99,107.98
123,412736,112.99,107.98
124,412737,112.99,107.98
125,412738,112.99,107.98
126,412739,112.99,107.98
127,412740,112.99,107.98
128,412741,112.99,107.98
129,412742,112.99,107.98
130,412743,112.99,107.98
131,412744,112.99,107.98
132,412745,112.99,107.98
133,412746,112.99,107.98
134,412747,112.99,107.98
135,412748,112.99,107.98
136,412749,112.99,107.98
137,412750,112.99,107.98
138,412751,112.99,107.98
139,412752,112.99,107.98
140,412753,112.99,107.98
141,412754,112.99,107.98
142,412755,112.99,107.98
143,412756,112.99,107.98
144,412757,112.99,107.98
145,412758,112.99,107.98
146,412759,112.99,107.98
147,412760,112.99,107.98
148,412761,112.99,107.98
149,412762,112.99,107.98
150,412763,112.99,107.98
151,412764,112.99,107.98
152,412765,112.99,107.98
153,412766,112.99,107.98
154,412767,112.99,107.98
155,412768,112.99,107.98
156,412769,112.99,107.98
157,412770,112.99,107.98
158,412771,112.99,107.98
159,412772,112.99,107.98
160,412773,112.99,107.98
161,412774,112.99,107.98
162,412775,112.99,107.98
163,412776,112.99,107.98
164,412777,112.99,107.98
165,412778,112.99,107.98
166,412779,112.99,107.98
167,412780,112.99,107.98
168,412781,112.99,107.98
169,412782,112.99,107.98
170,412783,112.99,107.98
171,412784,112.99,107.98
172,412785,112.99,107.98
173,412786,112.99,107.98
174,412787,112.99,107.98
175,412788,112.99,107.98
176,412789,112.99,107.98
177,412790,112.99,107.98
178,412791,112.99,107.98
179,412792,112.99,107.98
180,412793,112.99,107.98
181,412794,112.99,107.98
182,412795,112.99,107.98
183,412796,112.99,107.98
184,412797,112.99,107.98
185,412798,112.99,107.98
186,412799,112.99,107.98
187,412800,112.99,107.98
188,412801,112.99,107.98
189,412802,112.99,107.98
190,412803,112.99,107.98
191,412804,112.99,107.98
192,412805,112.99,107.98
198,412811,70.88,67.74
199,412812,70.88,67.74
200,412813,70.88,67.74
201,412814,70.88,67.74
202,412815,70.88,67.74
203,412816,70.88,67.74
204,412817,70.88,67.74
205,412818,70.88,67.74
206,412819,70.88,67.74
207,412820,70.88,67.74
208,412821,70.88,67.74
209,412822,70.88,67.74
210,412823,70.88,67.74
211,412824,70.88,67.74
212,412825,70.88,67.74
213,412826,70.88,67.74
214,412827,70.88,67.74
215,412828,70.88,67.74
216,412829,70.88,67.74
217,412830,70.88,67.74
218,412831,70.88,67.74
219,412832,70.88,67.74
220,412833,70.88,67.74
221,412834,70.88,67.74
222,412835,70.88,67.74
223,412836,70.88,67.74
224,412837,70.88,67.74
225,412838,70.88,67.74
226,412839,70.88,67.74
227,412840,70.88,67.74
228,412841,70.88,67.74
229,412842,70.88,67.74
230,412843,70.88,67.74
231,412844,70.88,67.74
232,412845,70.88,67.74
233,412846,70.88,67.74
234,412847,70.88,67.74
235,412848,70.88,67.74
236,412849,70.88,67.74
237,412850,70.88,67.74
238,412851,70.88,67.74
239,412852,70.88,67.74
240,412853,70.88,67.74
241,412854,70.88,67.74
242,412855,70.88,67.74
243,412856,70.88,67.74
244,412857,70.88,67.74
245,412858,70.88,67.74
246,412859,70.88,67.74
247,412860,70.88,67.74
248,412861,70.88,67.74
249,412862,70.88,67.74
250,412863,70.88,67.74
251,412864,70.88,67.74
252,412865,70.88,67.74
253,412866,70.88,67.74
254,412867,70.88,67.74
255,412868,70.88,67.74
256,412869,70.88,67.74
257,412870,70.88,67.74
258,412871,70.88,67.74
259,412872,70.88,67.74
260,412873,70.88,67.74
261,412874,70.88,67.74
262,412875,70.88,67.74
263,412876,70.88,67.74
264,412877,70.88,67.74
265,412878,70.88,67.74
266,412879,70.88,67.74
267,412880,70.88,67.74
268,412881,70.88,67.74
269,412882,70.88,67.74
270,412883,70.88,67.74
271,412884,70.88,67.74
272,412885,70.88,67.74
430,413043,727.77,695.5
431,413044,727.77,695.5
432,413045,727.77,695.5
433,413046,463.48,442.93
434,413047,463.48,442.93
435,413048,463.48,442.93
436,413049,463.48,442.93
437,413050,463.48,442.93
438,413051,463.48,442.93
439,413052,463.48,442.93
440,413053,463.48,442.93
441,413054,463.48,442.93
442,413055,463.48,442.93
443,413056,463.48,442.93
444,413057,463.48,442.93
445,413058,463.48,442.93
446,413059,463.48,442.93
447,413060,463.48,442.93
448,413061,463.48,442.93
449,413062,463.48,442.93
450,413063,463.48,442.93
451,413064,463.48,442.93
452,413065,463.48,442.93
453,413066,463.48,442.93
454,413067,1900.14,1815.87
455,413068,1900.14,1815.87
456,413069,1900.14,1815.87
503,413116,325.57,311.13
504,413117,325.57,311.13
505,413118,325.57,311.13
506,413119,325.57,311.13
507,413120,325.57,311.13
508,413121,325.57,311.13
509,413122,325.57,311.13
510,413123,189.58,181.17
511,413124,189.58,181.17
512,413125,189.58,181.17
513,413126,189.58,181.17
514,413127,189.58,181.17
515,413128,189.58,181.17
516,413129,189.58,181.17
517,413130,189.58,181.17
518,413131,189.58,181.17
519,413132,325.57,311.13
520,413133,325.57,311.13
521,413134,325.57,311.13
522,413135,325.57,311.13
523,413136,325.57,311.13
524,413137,325.57,311.13
525,413138,325.57,311.13
526,413139,325.57,311.13
527,413140,325.57,311.13
528,413141,325.57,311.13
529,413142,325.57,311.13
530,413143,325.57,311.13
531,413144,325.57,311.13
532,413145,325.57,311.13
533,413146,325.57,311.13
534,413147,325.57,311.13
535,413148,325.57,311.13
536,413149,325.57,311.13
537,413150,325.57,311.13
538,413151,325.57,311.13
539,413152,325.57,311.13
540,413153,325.57,311.13
541,413154,325.57,311.13
542,413155,325.57,311.13
543,413156,325.57,311.13
544,413157,325.57,311.13
545,413158,325.57,311.13
546,413159,325.57,311.13
547,413160,149.42,142.8
