,Asset No,Revised Accum Dep_x,Dep. Beginning Balance_y
9298,492693,40102.35,35721.38
9299,492693,40102.35,35721.38
9300,492693,40102.35,35721.38
9301,492693,40102.35,35721.38
9302,492693,40102.35,35721.38
9303,492693,40102.35,35721.38
9304,492693,40102.35,35721.38
9305,492693,40102.35,35721.38
9306,492693,40102.35,35721.38
9307,492693,40102.35,35721.38
9308,492693,40102.35,35721.38
9309,492693,40102.35,35721.38
9310,492693,40102.35,35721.38
9311,492693,40102.35,35721.38
9312,492693,40102.35,35721.38
9313,492693,40102.35,35721.38
9314,492693,40102.35,35721.38
9315,492693,40102.35,35721.38
9316,492693,40102.35,35721.38
9317,492693,40102.35,35721.38
9318,492693,40102.35,35721.38
9319,492693,40102.35,35721.38
9320,492693,40102.35,35721.38
9321,492693,40102.35,35721.38
9322,492693,40102.35,35721.38
11816,603360,1183.24,0.0
11817,603361,961.28,0.0
11830,603374,58920.96,0.0
11985,603550,454.76,0.0
12032,603597,6886.38,0.0
12203,603771,77.67,0.0
12408,604006,1761.82,0.0
12428,604026,624.18,0.0
12460,604109,467.95,0.0
12499,,550329891.13,542445728.64
