,order_id,product
3,176560,Google Phone
4,176560,Wired Headphones
18,176574,Google Phone
19,176574,USB-C Charging Cable
32,176586,AAA Batteries (4-pack)
33,176586,Google Phone
119,176672,Lightning Charging Cable
120,176672,USB-C Charging Cable
129,176681,Apple Airpods Headphones
130,176681,ThinkPad Laptop
138,176689,Bose SoundSport Headphones
139,176689,AAA Batteries (4-pack)
189,176739,34in Ultrawide Monitor
190,176739,Google Phone
225,176774,Lightning Charging Cable
226,176774,USB-C Charging Cable
233,176781,iPhone
234,176781,Lightning Charging Cable
250,176797,Google Phone
251,176797,Bose SoundSport Headphones
252,176797,Wired Headphones
260,176805,Google Phone
261,176805,USB-C Charging Cable
264,176808,Google Phone
265,176808,Wired Headphones
270,176813,Google Phone
271,176813,Wired Headphones
394,176935,AAA Batteries (4-pack)
395,176935,27in FHD Monitor
435,176975,USB-C Charging Cable
436,176975,AAA Batteries (4-pack)
450,176989,Google Phone
451,176989,USB-C Charging Cable
455,176993,iPhone
456,176993,Wired Headphones
485,177022,iPhone
486,177022,Wired Headphones
567,177102,iPhone
568,177102,27in 4K Gaming Monitor
581,177115,iPhone
582,177115,Lightning Charging Cable
584,177117,ThinkPad Laptop
585,177117,AAA Batteries (4-pack)
635,177167,iPhone
636,177167,Apple Airpods Headphones
637,177167,AAA Batteries (4-pack)
648,177178,iPhone
649,177178,Lightning Charging Cable
652,177181,Wired Headphones
653,177181,Apple Airpods Headphones
654,177182,Macbook Pro Laptop
655,177182,ThinkPad Laptop
657,177184,AA Batteries (4-pack)
658,177184,Flatscreen TV
672,177198,Vareebadd Phone
673,177198,USB-C Charging Cable
676,177201,USB-C Charging Cable
677,177201,Lightning Charging Cable
689,177213,iPhone
690,177213,Lightning Charging Cable
732,177254,AA Batteries (4-pack)
733,177254,AAA Batteries (4-pack)
736,177256,Bose SoundSport Headphones
737,177256,AA Batteries (4-pack)
781,177300,20in Monitor
782,177300,Apple Airpods Headphones
849,177367,Google Phone
850,177367,USB-C Charging Cable
851,177367,Bose SoundSport Headphones
882,177398,27in FHD Monitor
883,177398,AAA Batteries (4-pack)
913,177428,Vareebadd Phone
914,177428,USB-C Charging Cable
927,177441,iPhone
928,177441,Lightning Charging Cable
936,177448,Google Phone
937,177448,USB-C Charging Cable
994,177504,Google Phone
995,177504,USB-C Charging Cable
997,177506,iPhone
998,177506,Apple Airpods Headphones
1003,177511,iPhone
1004,177511,Lightning Charging Cable
1062,177569,Wired Headphones
1063,177569,Google Phone
1077,177582,Bose SoundSport Headphones
1078,177582,Wired Headphones
1088,177592,iPhone
1089,177592,Lightning Charging Cable
1135,177638,Apple Airpods Headphones
1136,177638,Google Phone
1181,177681,AAA Batteries (4-pack)
1182,177681,Macbook Pro Laptop
1220,177719,Google Phone
1221,177719,USB-C Charging Cable
1260,177758,USB-C Charging Cable
1261,177758,Lightning Charging Cable
1272,177769,iPhone
1273,177769,Lightning Charging Cable
1282,177778,iPhone
1283,177778,Apple Airpods Headphones
1287,177782,Lightning Charging Cable
1288,177782,27in 4K Gaming Monitor
1307,177800,Google Phone
1308,177800,USB-C Charging Cable
1309,177800,Wired Headphones
1324,177815,Apple Airpods Headphones
1325,177815,Lightning Charging Cable
1371,177861,AA Batteries (4-pack)
1372,177861,Apple Airpods Headphones
1385,177874,iPhone
1386,177874,Apple Airpods Headphones
1484,177971,iPhone
1485,177971,Lightning Charging Cable
1510,177996,iPhone
1511,177996,Lightning Charging Cable
1524,178009,34in Ultrawide Monitor
1525,178009,USB-C Charging Cable
1545,178029,iPhone
1546,178029,Apple Airpods Headphones
1625,178106,AAA Batteries (4-pack)
1626,178106,Wired Headphones
1638,178118,iPhone
1639,178118,AAA Batteries (4-pack)
1656,178135,Lightning Charging Cable
1657,178135,AA Batteries (4-pack)
1659,178137,Lightning Charging Cable
1660,178137,AA Batteries (4-pack)
1681,178158,Google Phone
1682,178158,USB-C Charging Cable
1683,178158,Wired Headphones
1688,178162,iPhone
1689,178162,Lightning Charging Cable
1695,178168,AA Batteries (4-pack)
1696,178168,Macbook Pro Laptop
1718,178190,Vareebadd Phone
1719,178190,Wired Headphones
1750,178221,Flatscreen TV
1751,178221,Lightning Charging Cable
1772,178242,iPhone
1773,178242,Lightning Charging Cable
1789,178258,iPhone
1790,178258,Apple Airpods Headphones
1812,178280,iPhone
1813,178280,Lightning Charging Cable
1823,178290,Wired Headphones
1824,178290,ThinkPad Laptop
1938,178404,Bose SoundSport Headphones
1939,178404,USB-C Charging Cable
1947,178412,Vareebadd Phone
1948,178412,Wired Headphones
1968,178432,Bose SoundSport Headphones
1969,178432,USB-C Charging Cable
2061,178523,USB-C Charging Cable
2062,178523,20in Monitor
2064,178525,AAA Batteries (4-pack)
2065,178525,AA Batteries (4-pack)
2067,178527,AA Batteries (4-pack)
2068,178527,Bose SoundSport Headphones
2113,178572,USB-C Charging Cable
2114,178572,27in 4K Gaming Monitor
2292,178749,iPhone
2293,178749,Lightning Charging Cable
2325,178781,Google Phone
2326,178781,Wired Headphones
2370,178825,iPhone
2371,178825,Apple Airpods Headphones
2432,178886,Google Phone
2433,178886,Wired Headphones
2501,178954,Google Phone
2502,178954,USB-C Charging Cable
2537,178989,Vareebadd Phone
2538,178989,USB-C Charging Cable
2539,178990,Google Phone
2540,178990,USB-C Charging Cable
2550,179000,iPhone
2551,179000,Lightning Charging Cable
2609,179057,Google Phone
2610,179057,USB-C Charging Cable
2629,179076,Google Phone
2630,179076,USB-C Charging Cable
2662,179108,Lightning Charging Cable
2663,179108,AAA Batteries (4-pack)
2683,179128,iPhone
2684,179128,Apple Airpods Headphones
2718,179162,Google Phone
2719,179162,USB-C Charging Cable
2783,179226,34in Ultrawide Monitor
2784,179226,Macbook Pro Laptop
2829,179270,iPhone
2830,179270,Lightning Charging Cable
2871,179311,Wired Headphones
2872,179311,USB-C Charging Cable
2890,179328,Wired Headphones
2891,179328,AA Batteries (4-pack)
2904,179340,Macbook Pro Laptop
2905,179340,Apple Airpods Headphones
2922,179357,Google Phone
2923,179357,USB-C Charging Cable
2943,179377,USB-C Charging Cable
2944,179377,AA Batteries (4-pack)
2946,179379,Google Phone
2947,179379,Bose SoundSport Headphones
3002,179434,Macbook Pro Laptop
3003,179434,20in Monitor
3022,179453,iPhone
3023,179453,Wired Headphones
3057,179485,Vareebadd Phone
3058,179485,USB-C Charging Cable
3087,179514,Google Phone
3088,179514,USB-C Charging Cable
3105,179530,Google Phone
3106,179530,USB-C Charging Cable
3117,179540,iPhone
3118,179540,Lightning Charging Cable
3233,179653,AA Batteries (4-pack)
3234,179653,Flatscreen TV
3326,179745,Google Phone
3327,179745,USB-C Charging Cable
3390,179808,USB-C Charging Cable
3391,179808,27in FHD Monitor
3403,179820,Google Phone
3404,179820,USB-C Charging Cable
3419,179835,Google Phone
3420,179835,Wired Headphones
3422,179837,Google Phone
3423,179837,USB-C Charging Cable
3471,179885,20in Monitor
3472,179885,Bose SoundSport Headphones
3531,179944,Flatscreen TV
3532,179944,AA Batteries (4-pack)
3554,179966,iPhone
3555,179966,Lightning Charging Cable
3558,179969,Google Phone
3559,179969,Wired Headphones
3588,179998,iPhone
3589,179998,Apple Airpods Headphones
3591,180000,iPhone
3592,180000,Lightning Charging Cable
3624,180031,Vareebadd Phone
3625,180031,USB-C Charging Cable
3702,180108,Bose SoundSport Headphones
3703,180108,AA Batteries (4-pack)
3730,180135,Google Phone
3731,180135,Wired Headphones
3757,180161,USB-C Charging Cable
3758,180161,ThinkPad Laptop
3826,180227,USB-C Charging Cable
3827,180227,Bose SoundSport Headphones
3837,180237,iPhone
3838,180237,AAA Batteries (4-pack)
3923,180322,USB-C Charging Cable
3924,180322,iPhone
3956,180353,27in FHD Monitor
3957,180353,AA Batteries (4-pack)
3969,180365,Lightning Charging Cable
3970,180365,Google Phone
3975,180370,Google Phone
3976,180370,USB-C Charging Cable
3988,180382,AA Batteries (4-pack)
3989,180382,AAA Batteries (4-pack)
4004,180397,AA Batteries (4-pack)
4005,180397,Apple Airpods Headphones
4007,180399,iPhone
4008,180399,Lightning Charging Cable
4015,180406,Bose SoundSport Headphones
4016,180406,Lightning Charging Cable
4032,180422,Google Phone
4033,180422,USB-C Charging Cable
4067,180456,iPhone
4068,180456,Apple Airpods Headphones
4079,180467,Apple Airpods Headphones
4080,180467,USB-C Charging Cable
4127,180514,Wired Headphones
4128,180514,iPhone
4129,180515,27in 4K Gaming Monitor
4130,180515,Apple Airpods Headphones
4139,180523,iPhone
4140,180523,Lightning Charging Cable
4149,180532,iPhone
4150,180532,Lightning Charging Cable
4176,180558,27in 4K Gaming Monitor
4177,180558,Vareebadd Phone
4252,180631,AA Batteries (4-pack)
4253,180631,Lightning Charging Cable
4273,180651,Wired Headphones
4274,180651,AA Batteries (4-pack)
4275,180652,Google Phone
4276,180652,USB-C Charging Cable
4296,180671,Wired Headphones
4297,180671,Apple Airpods Headphones
4302,180676,Apple Airpods Headphones
4303,180676,27in FHD Monitor
4350,180723,Google Phone
4351,180723,USB-C Charging Cable
4352,180723,Bose SoundSport Headphones
4427,180797,AAA Batteries (4-pack)
4428,180797,27in 4K Gaming Monitor
4445,180814,Vareebadd Phone
4446,180814,USB-C Charging Cable
4463,180830,Apple Airpods Headphones
4464,180830,AAA Batteries (4-pack)
4491,180857,Bose SoundSport Headphones
4492,180857,AA Batteries (4-pack)
4509,180874,Google Phone
4510,180874,Bose SoundSport Headphones
4520,180884,iPhone
4521,180884,Lightning Charging Cable
4522,180884,Wired Headphones
4545,180907,iPhone
4546,180907,Wired Headphones
4550,180911,iPhone
4551,180911,Wired Headphones
4555,180915,iPhone
4556,180915,Lightning Charging Cable
4621,180979,Lightning Charging Cable
4622,180979,LG Dryer
4653,181009,Apple Airpods Headphones
4654,181009,Bose SoundSport Headphones
4667,181022,Google Phone
4668,181022,USB-C Charging Cable
4673,181027,iPhone
4674,181027,Lightning Charging Cable
4710,181063,AAA Batteries (4-pack)
4711,181063,Google Phone
4717,181069,Macbook Pro Laptop
4718,181069,34in Ultrawide Monitor
4746,181096,AA Batteries (4-pack)
4747,181096,USB-C Charging Cable
4776,181125,20in Monitor
4777,181125,Bose SoundSport Headphones
4783,181131,AAA Batteries (4-pack)
4784,181131,USB-C Charging Cable
4831,181177,iPhone
